,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Date
0,cape town,ZA,-33.9258,18.4232,57.99,94,0,3.44,1619211557
1,coruripe,BR,-10.1256,-36.1756,78.8,79,54,8.43,1619211557
2,adrar,MR,20.5022,-10.0711,83.97,8,0,7.74,1619211558
3,great yarmouth,GB,52.6083,1.7305,45.0,61,69,3.44,1619211558
4,hobart,AU,-42.8794,147.3294,51.8,71,40,10.36,1619211559
5,bouna,CI,9.2667,-3.0,81.52,59,95,4.52,1619211559
6,grindavik,IS,63.8424,-22.4338,46.4,87,90,19.57,1619211560
7,bethel,US,41.3712,-73.414,61.0,21,1,17.27,1619211522
8,katsuura,JP,35.1333,140.3,51.8,76,40,6.91,1619211561
9,mogadishu,SO,2.0371,45.3438,82.98,73,72,12.77,1619211561
10,punta arenas,CL,-53.15,-70.9167,50.0,87,75,5.75,1619211562
11,yenagoa,NG,4.9247,6.2642,78.82,89,45,4.81,1619211562
12,santiago de cao,PE,-7.9589,-79.2392,66.2,82,40,11.5,1619211563
13,tiksi,RU,71.6872,128.8694,4.64,98,97,7.18,1619211564
14,vagay,RU,57.9375,69.0217,42.6,56,100,7.74,1619211564
15,rikitea,FR,-23.1203,-134.9692,79.09,67,100,17.78,1619211565
16,zarate,AR,-34.0981,-59.0286,77.0,61,0,6.91,1619211565
17,busselton,AU,-33.65,115.3333,62.01,74,99,1.99,1619211566
18,avarua,CK,-21.2078,-159.775,82.4,74,75,16.11,1619211566
19,atuona,FR,-9.8,-139.0333,80.11,80,28,22.08,1619211567
20,codrington,AU,-38.2667,141.9667,53.11,88,100,7.52,1619211567
21,port victoria,KE,0.0939,33.9756,67.96,87,100,7.74,1619211568
22,sitka,US,57.0531,-135.33,57.2,26,1,4.61,1619211568
23,hermanus,ZA,-34.4187,19.2345,59.0,82,99,1.01,1619211569
24,nikolskoye,RU,59.7035,30.7861,41.0,75,40,6.71,1619211570
25,daru,PG,-9.0763,143.2092,79.81,81,40,4.32,1619211570
26,saint-joseph,FR,-21.3667,55.6167,77.0,73,75,5.75,1619211571
27,mataura,NZ,-46.1927,168.8643,45.0,95,53,1.99,1619211571
28,bobo dioulasso,BF,11.1771,-4.2979,86.0,54,0,2.3,1619211572
29,nuuk,GL,64.1835,-51.7216,32.0,86,90,2.3,1619211572
30,manaus,BR,-3.1019,-60.025,82.4,69,75,1.14,1619211525
31,padang,ID,-0.9492,100.3543,75.94,84,100,4.16,1619211573
32,camalu,MX,30.85,-116.0667,64.0,46,2,11.01,1619211574
